,size,prob,trial,result
597,2000,0.06,97,7.0
598,2000,0.06,98,8.0
599,2000,0.06,99,9.0
600,2000,0.07,0,8.0
601,2000,0.07,1,8.0
602,2000,0.07,2,7.0
603,2000,0.07,3,7.0
604,2000,0.07,4,10.0
605,2000,0.07,5,9.0
606,2000,0.07,6,7.0
607,2000,0.07,7,8.0
608,2000,0.07,8,10.0
609,2000,0.07,9,8.0
610,2000,0.07,10,8.0
611,2000,0.07,11,8.0
612,2000,0.07,12,8.0
613,2000,0.07,13,9.0
614,2000,0.07,14,8.0
615,2000,0.07,15,9.0
616,2000,0.07,16,8.0
617,2000,0.07,17,7.0
618,2000,0.07,18,8.0
619,2000,0.07,19,8.0
620,2000,0.07,20,9.0
621,2000,0.07,21,10.0
622,2000,0.07,22,10.0
623,2000,0.07,23,7.0
624,2000,0.07,24,10.0
625,2000,0.07,25,8.0
626,2000,0.07,26,8.0
627,2000,0.07,27,10.0
628,2000,0.07,28,8.0
629,2000,0.07,29,9.0
630,2000,0.07,30,10.0
631,2000,0.07,31,11.0
632,2000,0.07,32,11.0
633,2000,0.07,33,8.0
634,2000,0.07,34,9.0
635,2000,0.07,35,8.0
636,2000,0.07,36,8.0
637,2000,0.07,37,9.0
638,2000,0.07,38,9.0
639,2000,0.07,39,8.0
640,2000,0.07,40,9.0
641,2000,0.07,41,9.0
642,2000,0.07,42,8.0
643,2000,0.07,43,8.0
644,2000,0.07,44,8.0
645,2000,0.07,45,9.0
646,2000,0.07,46,10.0
647,2000,0.07,47,8.0
648,2000,0.07,48,9.0
649,2000,0.07,49,12.0
650,2000,0.07,50,8.0
651,2000,0.07,51,10.0
652,2000,0.07,52,9.0
653,2000,0.07,53,9.0
654,2000,0.07,54,8.0
655,2000,0.07,55,9.0
656,2000,0.07,56,9.0
657,2000,0.07,57,8.0
658,2000,0.07,58,9.0
659,2000,0.07,59,8.0
660,2000,0.07,60,9.0
661,2000,0.07,61,9.0
662,2000,0.07,62,8.0
663,2000,0.07,63,8.0
664,2000,0.07,64,10.0
665,2000,0.07,65,8.0
666,2000,0.07,66,9.0
667,2000,0.07,67,8.0
668,2000,0.07,68,8.0
669,2000,0.07,69,8.0
670,2000,0.07,70,8.0
671,2000,0.07,71,8.0
672,2000,0.07,72,7.0
673,2000,0.07,73,8.0
674,2000,0.07,74,9.0
675,2000,0.07,75,8.0
676,2000,0.07,76,9.0
677,2000,0.07,77,8.0
678,2000,0.07,78,9.0
679,2000,0.07,79,10.0
680,2000,0.07,80,9.0
681,2000,0.07,81,9.0
682,2000,0.07,82,8.0
683,2000,0.07,83,8.0
684,2000,0.07,84,8.0
685,2000,0.07,85,9.0
686,2000,0.07,86,9.0
687,2000,0.07,87,8.0
688,2000,0.07,88,8.0
689,2000,0.07,89,10.0
690,2000,0.07,90,8.0
